2025-03-14T15:19:24.400Z warp-connection-stats: Time since handshake: 4680.14s, tx: 0.90 MiB, rx: 1.74 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:21:24.392Z warp-connection-stats: Time since handshake: 4800.14s, tx: 0.93 MiB, rx: 1.78 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:23:24.384Z warp-connection-stats: Time since handshake: 4920.14s, tx: 0.95 MiB, rx: 1.83 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:25:24.375Z warp-connection-stats: Time since handshake: 5040.14s, tx: 0.97 MiB, rx: 1.87 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:27:24.366Z warp-connection-stats: Time since handshake: 5160.14s, tx: 0.99 MiB, rx: 1.92 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:29:24.358Z warp-connection-stats: Time since handshake: 5280.14s, tx: 1.02 MiB, rx: 1.96 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:31:24.350Z warp-connection-stats: Time since handshake: 5400.14s, tx: 1.04 MiB, rx: 2.00 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:33:24.344Z warp-connection-stats: Time since handshake: 5520.14s, tx: 1.06 MiB, rx: 2.04 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:35:24.336Z warp-connection-stats: Time since handshake: 5640.14s, tx: 1.08 MiB, rx: 2.09 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:37:24.328Z warp-connection-stats: Time since handshake: 5760.14s, tx: 1.11 MiB, rx: 2.13 MiB, loss: 0.0 %, latency: 7 ms
2025-03-14T15:39:24.320Z warp-connection-stats: Time since handshake: 5880.14s, tx: 1.13 MiB, rx: 2.18 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:41:24.314Z warp-connection-stats: Time since handshake: 6000.14s, tx: 1.15 MiB, rx: 2.22 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:43:24.307Z warp-connection-stats: Time since handshake: 6120.14s, tx: 1.18 MiB, rx: 2.26 MiB, loss: 0.0 %, latency: 6 ms
2025-03-14T15:45:24.300Z warp-connection-stats: Time since handshake: 6240.14s, tx: 1.20 MiB, rx: 2.31 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:47:24.292Z warp-connection-stats: Time since handshake: 6360.14s, tx: 1.22 MiB, rx: 2.35 MiB, loss: 0.0 %, latency: 7 ms
2025-03-14T15:49:24.284Z warp-connection-stats: Time since handshake: 6480.14s, tx: 1.25 MiB, rx: 2.40 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:51:24.277Z warp-connection-stats: Time since handshake: 6600.14s, tx: 1.27 MiB, rx: 2.44 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:53:24.270Z warp-connection-stats: Time since handshake: 6720.14s, tx: 1.29 MiB, rx: 2.49 MiB, loss: 0.0 %, latency: 5 ms
2025-03-14T15:55:24.258Z warp-connection-stats: Time since handshake: 6840.14s, tx: 1.32 MiB, rx: 2.53 MiB, loss: 0.0 %, latency: 6 ms
